国家,确诊总数,现存确诊,死亡总数,治愈总数,新增确认,新增治愈,新增死亡
圣基茨和尼维斯,12,12,0,0,0,0,0
蒙特塞拉特岛,2,2,0,0,0,0,0
安圭拉,2,2,0,0,0,0,0
圣卢西亚,15,15,0,4,0,0,0
格林纳达,14,14,0,0,0,0,0
新喀里多尼亚,14,14,0,0,0,0,0
阿鲁巴,86,86,0,27,0,0,0
法属波利尼西亚,30,30,0,0,0,0,0
直布罗陀,35,35,0,0,0,0,0
马提尼克岛,66,66,0,0,0,0,0
塞拉利昂,11,11,0,0,1,0,0
布隆迪,5,5,1,0,0,0,1
马拉维,16,16,2,0,3,0,0
吉布提,298,298,2,41,0,0,0
圣多美和普林西比,4,4,0,0,0,0,0
南苏丹,4,4,0,0,0,0,0
也门,1,1,0,0,0,0,0
圣文森特岛,12,12,0,1,0,0,0
西撒哈拉,6,6,0,0,0,0,0
